,sentiments,labels
1120,The PNP said it has observed a “massive reduction” in the supply of illegal drugs since President Rodrigo Duterte’s war on drugs started in 2016. | @DFernandezINQ  https://t.co/L8wKppMSj1,Negative
1122,"Victims of the brutal drug war have expressed “overwhelming support” to launch an independent investigation into the controversial campaign of President Rodrigo Duterte, the International Criminal Court (ICC) Registry said in a report.  READ:  https://t.co/NgbxbVsV6f  https://t.co/QXQkhz4gJM",Negative
1127,"The International Criminal Court received ""overwhelming"" support from the kin of Filipinos killed in President Rodrigo Duterte's war on drugs campaign as they push for investigations to proceed.  https://t.co/shzU8C6qfV @RRD_Davao  #AbogadoNews",Negative
1133,"@Penina1106 @ghostseeker_10 Ano'ng klaseng tanong 'yan? Que ikaw pa ang pinakamabuti o pinakamasamang tao sa mundo, it won't change the fact na si Duterte ang worst president sa lahat ng naging presidente ng Pilipinas.",Negative
1136,WATCH: Senator @SAPBongGo affirmed the resolve of President Rodrigo Roa Duterte to punish officials guilty of committing acts of corruption.  #workingPCOO #WeRiseAsOne  https://t.co/oMUA3yKyCb,Negative
1137,"“When I am no longer president, kill me if I committed mistakes or told you lies” - PRRD  Sino ang magvovolunteer patayin si Duterte?",Negative
1140,duterte worst president,Negative
1143,"This is one more step towards jiustice for EJK victims brutally killed in President Duterte's ""war on drugs.""   We are confident that with this clamor for justice and President Duterte's  weak arguments to avoid accountability, the ICC's pre trial chamber will ultimately... +",Negative
1146,"""DOUBLE THE SALARY OF THE HEALTH WORKERS.""   President Rodrigo Duterte should raise the salary of health workers as they battle in the frontlines of the pandemic, said Robert Mendoza, president of the Alliance of Health Workers.  READ:  https://t.co/iYmaUHTHkn  https://t.co/ChZ7UWHywy",Negative
1151,"""DOUBLE THE SALARY OF THE HEALTH WORKERS.""   President Rodrigo Duterte should raise the salary of health workers as they battle in the frontlines of the pandemic, said Robert Mendoza, president of the Alliance of Health Workers.  READ:  https://t.co/Wh24GSkrIg  https://t.co/3rtilatCEa",Negative
1152,"""Doesn’t everyone know the president of the Philippines"" be landi landi lang tayo ano wag na natin pag usapan si duterte 😭 Nakakahiya 😭",Negative
1155,Sen. Koko Pimentel III on Sunday criticized their rival wing in Partido Demokratiko Pilipino-Lakas ng Bayan (PDP-Laban) after his faction installed him as the new chairman to replace President Rodrigo Duterte.  READ:  https://t.co/Lrw57fO2E0  https://t.co/xYLGVqx3F2,Negative
1161,@gleefjalea For the multi-billion fraud scheme involving overpriced medical supplies should be former economic adviser Michael Yang and President Rodrigo Duterte (2/2) | @gleefjalea,Negative
1163,LOOK l  President Rodrigo R. Duterte says illegal loggers are not afraid of forest rangers because they are protected by NPA terrorists who will do everything to help illegal loggers fin exchange for money.   Full story:  https://t.co/yqoZ5J69j0  #NTFELCAC #EO70,Negative
1166,"Bruh so jealous seeing how free my cousins are to go to Disneyland na and shit and we’re stuck here with an idiot for a President and his equally stupid ass administration. FUCK you gyud, Duterte",Negative
1174,Hayys..nalintekan na. Gusto ni President Duterte na sya ang manguna sa audit ng government agencies. Let the COA do their job. Napapaghalata ang conflict of interest.🤬 Cno nman daw kya ang mag aaudit sa mga auditors??😱,Negative
1175,The anti duterte media wants to destroy duterte they Dont want a reformest President. Why a lot in Media dont like war on drugs.drugs is a menace to the society. Drugs is a big business but god is not sleeping if god is feed up a repeat of sodom and gomorah   event in the bible.,Negative
1179,"No number is too many with regards to enforced disappearances. Worse, the existing culture of impunity has been reinforced by President Rodrigo Duterte and his minions’ show of addiction to power and bloodshed.  https://t.co/UmcPxFyKqs",Negative
1185,"Philippine President Rodrigo Duterte declared he will run for vice president next year to continue his ""crusade"" against drugs and insurgents -- a move critics said was a ""smokescreen"" and driven by fear of criminal charges. #Duterte #Philippine #Election #politics  https://t.co/Q6I3lJQNTO",Negative
1188,@_stephsun @manilabulletin @MBvanneelaine Seryoso yan. May isang salita si Senador Bong Go. Malamang nag usap na sila ni Mayor Inday Sara Duterte Carpio kaya umatras na siya.,Negative
1191,"An “overwhelming” number of victims back the International Criminal Court Office of the Prosecutor’s request for a full investigation into President Rodrigo Duterte and his men’s “war on drugs,” an initial report by the ICC Registry said.  https://t.co/VlT6Py26CR  https://t.co/bXAD5FP6ZL",Negative
1192,President Rodrigo Duterte has appointed new prosecutors for the Department of Justice’s (DoJ) National Prosecution Service (NPS) offices nationwide and two assistant chief state lawyers.  https://t.co/6eWbVwVXc5  https://t.co/Ae6YP3OLgs,Negative
1193,"An “overwhelming” number of victims back the International Criminal Court Office of the Prosecutor’s request for a full investigation into President Rodrigo Duterte and his men’s “war on drugs,” an initial report by the ICC Registry said.   https://t.co/QoaWdAXiRf",Negative
1197,"ALERT: The International Criminal Court (ICC) says drug war victims have ""overwhelmingly support an investigation"" into alleged crimes committed under President Rodrigo Duterte’s war on drugs.  #StopTheKillings  #ProsecuteDuterte  https://t.co/wdp3lF9Kmu",Negative
1198,President Rodrigo Duterte has appointed new prosecutors for the Department of Justice’s (DoJ) National Prosecution Service (NPS) offices nationwide and two assistant chief state lawyers.   https://t.co/kWwsSKSNcI,Negative
1207,"YUP. Keep firing your baseless accusations just to destroy President Duterte and his successor. We all know that you desperately need to get back in power. More than ever we know now that we dont need you, that we need to get rid of you!  #Duterte #OFW #PPRD vp leni saln pacquiao  https://t.co/azFGH3arzN",Negative
1208,"""As I have said many times before, I am not interested in the presidency,"" said President Rodrigo Duterte's longtime aide Senator Bong Go.   How do you feel about this? #WeDecide #PHVote  https://t.co/0Jdsw5vdlx",Negative
1209,"""As I have said many times before, I am not interested in the presidency,"" said President Rodrigo Duterte's longtime aide Senator Bong Go.   How do you feel about this? #WeDecide #PHVote  https://t.co/DlI2oDRml0",Negative
1215,"JUST IN:   Senator Mong Go has rejected the endorsement of PDP-Laban for him to be its presidential candidate in 2022, with President Rodrigo Duterte as his running-mate.   In a letter to party president Alfonso Cusi, Go claimed that he is not interested in the presidency.",Negative
1221,"Vice President Leni Robredo on Sunday criticized President Rodrigo Duterte, asking him to show his Statement of Assets, Liabilities and Net Worth and come out clean if he was really serious to fight corruption. Read more here:  https://t.co/Aq7yDlXU1p  https://t.co/CnnsMYSSTd",Negative
1229,"JUST IN: Senator Bong Go officially rejects the PDP-Laban’s endorsement for him to be the party’s standard-bearer in the 2022 elections, alongside Pres. Duterte.   In a letter to party president Alfonso Cusi, Go maintained he is not interested in the presidency. | @DYGalvezINQ  https://t.co/xqwtw8sevS",Negative
1230,"Senator Bong Go officially rejects the PDP-Laban’s endorsement for him to be the party’s standard bearer in the 2022 electios, alongside Pres. Rodrigo Duterte.   In a letter to party president Alfonso Cusi, Go maintained he is not interested in the presidency. @inquirerdotnet  https://t.co/Tn0De9s2xs",Negative
1236,The COA released the report of its internal audit team after Chief Presidential Legal Counsel Salvador Panelo told President Duterte that no one is auditing the agency. Duterte said he will audit COA once he becomes vice president.  https://t.co/Lzj04I6kFJ | via @onenewsph  https://t.co/fPpfovYnBB,Negative
1240,"@inquirerdotnet @bendeveraINQ Pilipino kids and young adults has been robbed of their future by Duterte and his Davao group and the DDShitheads are keep saying every politician does it? Dude, no president except Marcos what this president from Davao did to the Philippines on killings and rampant corruption.",Negative
1248,Galaxy Entertainment may be able to proceed with its plans for a casino on Boracay after Philippines President Rodrigo Duterte did a u-turn on his ban on gambling on the island.,Negative
1252,"The International Criminal Court’s Registry found that victims “overwhelmingly support an investigation"" into alleged crimes committed under President Rodrigo Duterte’s brutal drug war.  https://t.co/eQVN03Vbx0",Negative
1258,Duterte is the worst president of the Philippines,Negative
1268,But the seafarers never thanked PNoy instead they vote Duterte as president. Shame on those brainless fuckers 🤬🤬🤬,Negative
1271,"The Cusi PDP-Laban faction is now disqualified. May kaso ang mga tauhan mo, May pending kaso ka rin sa ICC at pagka hindi kana President, may mga isasampang kaso sa iyo ang Korte Suprema.  PINAG SAKLOBAN KA NA NG LANGIT What now Duterte?",Negative
1275,"The previous Presidents who want to stay in power after their term are Marcos, Ramos, and GMA. They were unsuccessful, but how about Duterte.  https://t.co/FXRsMZRrtc",Negative
1282,"3/8 Hvem som offisielt stiller til valget neste år er ikke avgjort ennå, men president Duterte har bekreftet at han ønsker å stille som visepresident. Det har skjedd før at en president har søkt et lavere embete etter sin periode.",Negative
